LR:0.001, DF : 0, TU : [1, 2],DRT: 0.2
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('C:\\Users\\shing\\Anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('C:\\Users\\shing\\Anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000
[Epoch 0040/1000]	Epsilon:0.4805	#Expl.:3882/8003	#Buy:2718	#Sell:2808	#Hold:2477	#Stocks:0	PV:\21,284,065	POS:144	NEG:108	Loss:  0.127113
[Epoch 0041/1000]	Epsilon:0.4800	#Expl.:3872/8003	#Buy:2532	#Sell:2694	#Hold:2777	#Stocks:0	PV:\21,227,645	POS:138	NEG:129	Loss:  0.127794
[Epoch 0042/1000]	Epsilon:0.4795	#Expl.:3816/8003	#Buy:2514	#Sell:2593	#Hold:2896	#Stocks:196	PV:\15,759,424	POS:147	NEG:124	Loss:  0.126331
[Epoch 0043/1000]	Epsilon:0.4790	#Expl.:3826/8003	#Buy:2447	#Sell:2606	#Hold:2950	#Stocks:52	PV:\19,523,267	POS:142	NEG:125	Loss:  0.126839
[Epoch 0044/1000]	Epsilon:0.4785	#Expl.:3808/8003	#Buy:2369	#Sell:2565	#Hold:3069	#Stocks:0	PV:\14,446,441	POS:142	NEG:124	Loss:  0.127861
[Epoch 0045/1000]	Epsilon:0.4780	#Expl.:3866/8003	#Buy:2423	#Sell:2564	#Hold:3016	#Stocks:0	PV:\17,022,623	POS:149	NEG:114	Loss:  0.126207
[Epoch 0046/1000]	Epsilon:0.4775	#Expl.:3913/8003	#Buy:2235	#Sell:2400	#Hold:3368	#Stocks:0	PV:\14,184,626	POS:126	NEG:136	Loss:  0.126728
[Epoch 0047/1000]	Epsilon:0.4770	#Expl.:3862/8003	#Buy:2278	#Sell:2403	#Hold:3322	#Stocks:0	PV:\13,952,262	POS:145	NEG:114	Loss:  0.125890
[Epoch 0048/1000]	Epsilon:0.4765	#Expl.:3843/8003	#Buy:2235	#Sell:2415	#Hold:3353	#Stocks:0	PV:\14,518,701	POS:148	NEG:106	Loss:  0.127122
[Epoch 0049/1000]	Epsilon:0.4760	#Expl.:3865/8003	#Buy:2350	#Sell:2507	#Hold:3146	#Stocks:1	PV:\17,002,594	POS:145	NEG:115	Loss:  0.127400
[Epoch 0050/1000]	Epsilon:0.4755	#Expl.:3801/8003	#Buy:2330	#Sell:2512	#Hold:3161	#Stocks:2	PV:\18,567,328	POS:153	NEG:117	Loss:  0.126861
[Epoch 0051/1000]	Epsilon:0.4750	#Expl.:3850/8003	#Buy:2402	#Sell:2549	#Hold:3052	#Stocks:4	PV:\17,915,220	POS:150	NEG:112	Loss:  0.126166
[Epoch 0052/1000]	Epsilon:0.4745	#Expl.:3768/8003	#Buy:2447	#Sell:2611	#Hold:2945	#Stocks:93	PV:\13,169,032	POS:139	NEG:124	Loss:  0.127023
